change1_original_id,patch_original_id,patch_name,date,is_correct
ffmpeg-change1-18112,ffmpeg-patch-29004,"[FFmpeg-devel,v2,1/2] avcodec/v4l2_context: don't reinit output queue when dynamic resolution change",2021-07-22T03:01:19,yes
ffmpeg-change1-18112,ffmpeg-patch-29110,"[FFmpeg-devel,v3,1/3] avcodec/v4l2_context: don't reinit output queue when dynamic resolution change",2021-07-29T06:00:25,yes
ffmpeg-change1-18112,ffmpeg-patch-29613,"[FFmpeg-devel,v4,1/3] avcodec/v4l2_context: don't reinit output queue when dynamic resolution change",2021-08-19T08:55:31,yes
ffmpeg-change1-18112,ffmpeg-patch-33048,"[FFmpeg-devel,v5,1/7] avcodec/v4l2_context: don't reinit output queue when dynamic resolution change",2022-01-04T09:08:30,yes
ffmpeg-change1-27202,ffmpeg-patch-9224,"[FFmpeg-devel,2/4] lavfi/opencl: remove redundancy header.",2018-06-02T03:21:01,yes
ffmpeg-change1-27202,ffmpeg-patch-9235,"[FFmpeg-devel,v2,2/4] lavfi/opencl: remove redundancy header.",2018-06-03T02:58:10,yes
ffmpeg-change1-27202,ffmpeg-patch-9237,"[FFmpeg-devel,v3,2/4] lavfi/opencl: remove redundancy header.",2018-06-03T03:15:22,yes
ffmpeg-change1-21038,ffmpeg-patch-40768,"[FFmpeg-devel,6/7] avformat/matroskaenc: support writing Dynamic HDR10+ packet side data",2023-03-21T17:06:36,yes
ffmpeg-change1-21038,ffmpeg-patch-40771,"[FFmpeg-devel,v2,6/7] avformat/matroskaenc: support writing Dynamic HDR10+ packet side data",2023-03-21T18:00:01,yes
ffmpeg-change1-21038,ffmpeg-patch-40806,"[FFmpeg-devel,v3,6/7] avformat/matroskaenc: support writing Dynamic HDR10+ packet side data",2023-03-24T15:52:12,yes
ffmpeg-change1-21038,ffmpeg-patch-40898,"[FFmpeg-devel,v4,6/7] avformat/matroskaenc: support writing Dynamic HDR10+ packet side data",2023-03-28T15:33:42,yes
ffmpeg-change1-21038,ffmpeg-patch-40916,"[FFmpeg-devel,v5,6/7] avformat/matroskaenc: support writing Dynamic HDR10+ packet side data",2023-03-30T02:04:47,yes
ffmpeg-change1-5356,ffmpeg-patch-33282,"[FFmpeg-devel,3/5] avcodec/amfenc: Add the new usage presets",2022-01-12T22:49:22,yes
ffmpeg-change1-5356,ffmpeg-patch-33287,"[FFmpeg-devel,3/5] avcodec/amfenc: Add the new usage presets",2022-01-12T23:17:22,yes
ffmpeg-change1-11129,ffmpeg-patch-40299,"[FFmpeg-devel,V5,2/3] lavfi/dnn: Modified DNN native backend related tools and docs.",2023-02-06T09:45:49,yes
ffmpeg-change1-11129,ffmpeg-patch-40601,"[FFmpeg-devel,V6,2/3] lavfi/dnn: Modified DNN native backend related tools and docs.",2023-03-06T13:55:47,yes
ffmpeg-change1-11129,ffmpeg-patch-41346,"[FFmpeg-devel,V7,2/3] lavfi/dnn: Modified DNN native backend related tools and docs.",2023-04-27T09:43:45,yes
ffmpeg-change1-9981,ffmpeg-patch-2375,[FFmpeg-devel] Allow borderless playback windows,2017-01-31T00:02:14,yes
ffmpeg-change1-9981,ffmpeg-patch-2377,[FFmpeg-devel] Allow borderless playback windows,2017-01-31T01:29:06,yes
ffmpeg-change1-9981,ffmpeg-patch-2387,[FFmpeg-devel] Allow borderless playback windows,2017-02-01T02:49:31,yes
ffmpeg-change1-25977,ffmpeg-patch-5085,"[FFmpeg-devel,06/14] hwcontext_opencl: DXVA2 to OpenCL mapping",2017-09-10T20:53:30,yes
ffmpeg-change1-25977,ffmpeg-patch-6061,"[FFmpeg-devel,05/15] hwcontext_opencl: DXVA2 to OpenCL mapping",2017-11-14T19:47:20,yes
ffmpeg-change1-7507,ffmpeg-patch-3445,"[FFmpeg-devel] HLS, add option to skip down streams",2017-04-18T16:00:38,yes
ffmpeg-change1-7507,ffmpeg-patch-3454,"[FFmpeg-devel,UPDATE] HLS, add option to skip down streams,",2017-04-20T16:18:37,yes
ffmpeg-change1-7507,ffmpeg-patch-3457,"[FFmpeg-devel,UPDATE] HLS, add option to skip down streams,",2017-04-21T10:34:39,yes
ffmpeg-change1-7854,ffmpeg-patch-35258,"[FFmpeg-devel,4/5] lavfi: add vf_iccgen for generating ICC profiles",2022-04-11T15:36:53,yes
ffmpeg-change1-7854,ffmpeg-patch-35348,"[FFmpeg-devel,v2,4/5] lavfi: add vf_iccgen for generating ICC profiles",2022-04-19T12:46:56,yes
