change1_original_id,patch_original_id,patch_name,date,is_correct
kernel-change1-1207215,kernel-patch-12880447,[bpf-next] selftests/bpf: Avoid skipping certain subtests,2022-06-14T05:49:53,yes
kernel-change1-1207215,kernel-patch-12880449,"[bpf-next,v2] selftests/bpf: Avoid skipping certain subtests",2022-06-14T05:55:26,yes
kernel-change1-1229984,kernel-patch-12223239,"[iproute2-next,1/3] rdma: Update uapi headers",2021-04-25T11:53:20,yes
kernel-change1-1229984,kernel-patch-12228629,"[iproute2-next,1/2] rdma: update uapi headers",2021-04-28T11:42:30,yes
kernel-change1-1229984,kernel-patch-12230523,"[iproute2-next,v2,1/2] rdma: update uapi headers",2021-04-29T06:48:02,yes
kernel-change1-1229984,kernel-patch-12509885,"[RESEND,iproute2-next,1/3] rdma: Update uapi headers",2021-09-22T09:30:36,yes
kernel-change1-1229984,kernel-patch-12557905,"[iproute2-next,v1,1/3] rdma: Update uapi headers",2021-10-14T07:53:56,yes
kernel-change1-1186419,kernel-patch-11888533,"[net-next,08/11] net: hns3: add a check for ethtool priv-flag interface",2020-11-07T06:31:18,yes
kernel-change1-1186419,kernel-patch-11890435,"[V2,net-next,08/11] net: hns3: add a check for ethtool priv-flag interface",2020-11-09T03:22:36,yes
kernel-change1-1186419,kernel-patch-11898951,"[V3,net-next,08/10] net: hns3: add a check for ethtool priv-flag interface",2020-11-12T03:33:16,yes
kernel-change1-1211842,kernel-patch-12777916,"[v4,bpf-next,1/5] libbpf: bpf_program__attach_uprobe_opts() should determine paths for programs/libraries where possible",2022-03-11T12:10:54,yes
kernel-change1-1211842,kernel-patch-12796014,"[v5,bpf-next,1/5] libbpf: bpf_program__attach_uprobe_opts() should determine paths for programs/libraries where possible",2022-03-30T15:26:36,yes
kernel-change1-1185556,kernel-patch-12844991,"[net-next,08/17] netfilter: conntrack: remove __nf_ct_unconfirmed_destroy",2022-05-10T12:21:41,yes
kernel-change1-1185556,kernel-patch-12849514,"[net-next,08/17] netfilter: conntrack: remove __nf_ct_unconfirmed_destroy",2022-05-13T21:43:20,yes
kernel-change1-1211972,kernel-patch-12409163,"[bpf-next,5/7] selftests/bpf: update bpftool's consistency script for checking options",2021-07-29T16:29:30,yes
kernel-change1-1211972,kernel-patch-12411997,"[bpf-next,v2,5/7] selftests/bpf: update bpftool's consistency script for checking options",2021-07-30T21:54:33,yes
kernel-change1-1224011,kernel-patch-13278915,"[RFC,net-next,09/15] net: mvpp2: update PCS driver to use neg_mode",2023-06-13T14:38:13,yes
kernel-change1-1224011,kernel-patch-13282717,"[net-next,09/15] net: mvpp2: update PCS driver to use neg_mode",2023-06-16T12:07:03,yes
kernel-change1-1191259,kernel-patch-13286107,[4/4] arm64: dts: qcom: sm8550-qrd: add bluetooth support,2023-06-20T15:19:39,yes
kernel-change1-1191259,kernel-patch-13294154,"[v2,5/5] arm64: dts: qcom: sm8550-qrd: add bluetooth support",2023-06-27T08:15:58,yes
kernel-change1-1227720,kernel-patch-13107264,L2CAP: Fix null-ptr-deref in l2cap_sock_set_shutdown_cb,2023-01-19T01:34:05,yes
kernel-change1-1227720,kernel-patch-13107289,L2CAP: Fix null-ptr-deref in l2cap_sock_set_shutdown_cb,2023-01-19T02:04:07,yes
kernel-change1-1228677,kernel-patch-12843113,[1/6] phy: handle optional regulator for PHY,2022-05-09T07:48:52,yes
kernel-change1-1228677,kernel-patch-12854059,"[v2,3/5] phy: handle optional regulator for PHY",2022-05-18T20:09:37,yes
kernel-change1-1228677,kernel-patch-12858435,"[v3,2/3] phy: handle optional regulator for PHY",2022-05-23T05:28:06,yes
kernel-change1-1228677,kernel-patch-13043294,"[v4,2/3] phy: handle optional regulator for PHY",2022-11-15T07:36:02,yes
kernel-change1-1207885,kernel-patch-11923353,"[net,2/4] netfilter: nftables_offload: build mask based from the matching bytes",2020-11-21T12:35:59,yes
kernel-change1-1207885,kernel-patch-11937093,"[net,5/5] netfilter: nftables_offload: build mask based from the matching bytes",2020-11-27T19:03:13,yes
kernel-change1-1221716,kernel-patch-12075205,"[net-next,11/12] net: hns3: remove unused macro definition",2021-02-08T11:39:41,yes
kernel-change1-1221716,kernel-patch-12077069,"[V2,net-next,10/11] net: hns3: remove unused macro definition",2021-02-09T02:42:00,yes
kernel-change1-1213114,kernel-patch-11832801,"[4.9,47/54] mdio: fix mdio-thunder.c dependency & build error",2020-10-12T13:27:09,yes
kernel-change1-1213114,kernel-patch-11832763,"[4.14,61/70] mdio: fix mdio-thunder.c dependency & build error",2020-10-12T13:27:17,yes
kernel-change1-1213114,kernel-patch-11832717,"[5.4,60/85] mdio: fix mdio-thunder.c dependency & build error",2020-10-12T13:27:23,yes
kernel-change1-1213114,kernel-patch-11832749,"[4.19,38/49] mdio: fix mdio-thunder.c dependency & build error",2020-10-12T13:27:24,yes
kernel-change1-1213114,kernel-patch-11832719,"[5.8,073/124] mdio: fix mdio-thunder.c dependency & build error",2020-10-12T13:31:17,yes
kernel-change1-1202400,kernel-patch-12073557,"[net-next,5/9] net: squash switchdev attributes PRE_BRIDGE_FLAGS and BRIDGE_FLAGS",2021-02-07T23:21:37,yes
kernel-change1-1202400,kernel-patch-12078423,"[v2,net-next,06/11] net: squash switchdev attributes PRE_BRIDGE_FLAGS and BRIDGE_FLAGS",2021-02-09T15:19:31,yes
kernel-change1-1202400,kernel-patch-12080199,"[v3,net-next,05/11] net: squash switchdev attributes PRE_BRIDGE_FLAGS and BRIDGE_FLAGS",2021-02-10T09:14:39,yes
kernel-change1-1190051,kernel-patch-12342333,[4/4] net: phy: adin1100: Add SQI support,2021-06-24T14:53:53,yes
kernel-change1-1190051,kernel-patch-12371097,"[v2,6/7] net: phy: adin1100: Add SQI support",2021-07-12T13:06:30,yes
kernel-change1-1190051,kernel-patch-12550085,"[v3,6/8] net: phy: adin1100: Add SQI support",2021-10-11T14:22:13,yes
kernel-change1-1190051,kernel-patch-12669243,"[v4,6/7] net: phy: adin1100: Add SQI support",2021-12-10T11:05:08,yes
kernel-change1-1190051,kernel-patch-12790606,"[v5,6/7] net: phy: adin1100: Add SQI support",2022-03-24T11:26:19,yes
kernel-change1-1190051,kernel-patch-12810778,"[v6,6/7] net: phy: adin1100: Add SQI support",2022-04-12T13:07:05,yes
kernel-change1-1190051,kernel-patch-12832362,"[v7,6/7] net: phy: adin1100: Add SQI support",2022-04-29T15:34:36,yes
